,CityID,City,Humidity,Temp,Latitude,Cloudiness,WindSpeed,MaxTemp,Longitude,LatLong,CountryCode
50,3664716,Canutama,93,74.68,-6.53,94,1.9,74.68,-64.38,"{'lon': -64.38, 'lat': -6.53}",BR
51,3897774,Buin,56,73.38,-33.73,0,13.87,75.2,-70.75,"{'lon': -70.75, 'lat': -33.73}",CL
52,1513491,Yangi Marg`ilon,86,27.14,40.43,75,4.7,28.4,71.72,"{'lon': 71.72, 'lat': 40.43}",UZ
53,3372707,Ribeira Grande,76,53.1,38.52,1,7.29,53.1,-28.7,"{'lon': -28.7, 'lat': 38.52}",PT
54,5848280,Kapaa,65,78.87,22.08,1,10.29,79.0,-159.32,"{'lon': -159.32, 'lat': 22.08}",US
55,2128558,Otofuke,59,32.95,42.99,20,4.7,33.8,143.2,"{'lon': 143.2, 'lat': 42.99}",JP
56,4036284,Alofi,55,86.0,-19.06,20,11.41,86.0,-169.92,"{'lon': -169.92, 'lat': -19.06}",NU
57,610864,Khani,93,37.4,41.96,90,6.93,37.4,42.96,"{'lon': 42.96, 'lat': 41.96}",GE
58,2132606,Samarai,62,87.85,-10.62,61,3.2,87.85,150.67,"{'lon': 150.67, 'lat': -10.62}",PG
59,1863997,Fukuecho,82,62.6,32.69,40,3.36,62.6,128.84,"{'lon': 128.84, 'lat': 32.69}",JP
60,3883457,Lebu,97,52.72,-37.62,0,2.53,52.72,-73.65,"{'lon': -73.65, 'lat': -37.62}",CL
61,2092164,Lorengau,77,83.1,-2.02,0,13.67,83.1,147.27,"{'lon': 147.27, 'lat': -2.02}",PG
62,3146487,Raudeberg,93,44.74,61.99,100,26.4,46.0,5.14,"{'lon': 5.14, 'lat': 61.99}",NO
63,3466165,Cidreira,81,71.49,-30.18,94,12.15,71.49,-50.21,"{'lon': -50.21, 'lat': -30.18}",BR
64,3831208,Qaanaaq,51,-7.71,77.48,39,6.38,-7.71,-69.36,"{'lon': -69.36, 'lat': 77.48}",GL
65,2058430,Whyalla,43,73.4,-33.03,90,20.8,73.4,137.58,"{'lon': 137.58, 'lat': -33.03}",AU
66,1856392,Muroto,100,53.6,33.28,75,6.93,53.6,134.15,"{'lon': 134.15, 'lat': 33.28}",JP
67,568527,Chernyshkovskiy,97,32.56,48.42,99,13.56,32.56,42.23,"{'lon': 42.23, 'lat': 48.42}",RU
68,2156643,Mount Gambier,71,57.2,-37.83,75,26.4,57.2,140.77,"{'lon': 140.77, 'lat': -37.83}",AU
69,1793424,Taku,86,30.2,39.02,44,4.47,30.2,117.65,"{'lon': 117.65, 'lat': 39.02}",CN
70,1270779,Guhagar,52,77.86,17.48,84,8.55,77.86,73.19,"{'lon': 73.19, 'lat': 17.48}",IN
71,3355672,Luderitz,82,64.4,-26.65,0,2.24,64.4,15.16,"{'lon': 15.16, 'lat': -26.65}",NA
72,4032243,Vaini,79,84.2,-21.2,40,13.87,84.2,-175.2,"{'lon': -175.2, 'lat': -21.2}",TO
73,2447513,Arlit,15,64.29,18.74,26,6.98,64.29,7.39,"{'lon': 7.39, 'lat': 18.74}",NE
74,159134,Inyonga,95,65.98,-6.72,100,3.62,65.98,32.07,"{'lon': 32.07, 'lat': -6.72}",TZ
75,643493,Oulu,74,28.4,65.0,88,12.75,28.4,25.5,"{'lon': 25.5, 'lat': 65}",FI
76,3454005,Piacabucu,82,80.35,-10.41,100,9.26,80.35,-36.43,"{'lon': -36.43, 'lat': -10.41}",BR
77,6170031,Tuktoyaktuk,75,-14.8,69.45,90,8.05,-14.8,-133.04,"{'lon': -133.04, 'lat': 69.45}",CA
78,1252783,Yarada,100,68.0,17.65,40,2.24,68.0,83.27,"{'lon': 83.27, 'lat': 17.65}",IN
79,6167817,Torbay,79,21.69,47.67,90,10.29,23.0,-52.73,"{'lon': -52.73, 'lat': 47.67}",CA
80,2074865,Carnarvon,47,78.8,-24.87,0,17.22,78.8,113.63,"{'lon': 113.63, 'lat': -24.87}",AU
81,3984997,San Quintin,84,58.14,30.48,33,11.3,58.14,-115.95,"{'lon': -115.95, 'lat': 30.48}",MX
82,2644210,Liverpool,100,43.03,53.41,90,1.12,45.0,-2.98,"{'lon': -2.98, 'lat': 53.41}",GB
83,3687238,Cartagena,78,82.4,10.4,75,6.93,82.4,-75.51,"{'lon': -75.51, 'lat': 10.4}",CO
84,1244926,Hambantota,100,75.2,6.12,20,8.05,75.2,81.12,"{'lon': 81.12, 'lat': 6.12}",LK
85,3372783,Ponta Delgada,82,55.4,37.73,75,10.29,55.4,-25.67,"{'lon': -25.67, 'lat': 37.73}",PT
86,236524,Rafai,25,61.52,4.95,100,4.76,61.52,23.92,"{'lon': 23.92, 'lat': 4.95}",CF
87,5877641,Wasilla,85,13.39,61.58,90,0.98,15.8,-149.44,"{'lon': -149.44, 'lat': 61.58}",US
88,556268,Ostrovnoy,87,23.4,68.05,100,27.22,23.4,39.51,"{'lon': 39.51, 'lat': 68.05}",RU
89,1916249,Jinxiang,83,71.01,22.86,90,4.68,71.01,115.7,"{'lon': 115.7, 'lat': 22.86}",CN
90,5563839,Fortuna,71,55.9,40.6,90,5.57,57.0,-124.16,"{'lon': -124.16, 'lat': 40.6}",US
91,695826,Rakiv Lis,80,31.71,51.62,48,12.82,31.71,24.92,"{'lon': 24.92, 'lat': 51.62}",UA
92,1855342,Nishihara,73,71.96,26.18,75,11.41,73.4,127.76,"{'lon': 127.76, 'lat': 26.18}",JP
93,6111862,Port Hardy,87,42.8,50.7,90,29.97,42.8,-127.42,"{'lon': -127.42, 'lat': 50.7}",CA
94,6690296,Saint-Joseph,88,74.84,-21.37,75,9.17,80.6,55.62,"{'lon': 55.62, 'lat': -21.37}",RE
95,1280849,Kashgar,67,17.6,39.45,70,6.71,17.6,75.98,"{'lon': 75.98, 'lat': 39.45}",CN
96,2138555,Poum,75,79.72,-20.23,0,12.97,79.72,164.02,"{'lon': 164.02, 'lat': -20.23}",NC
97,2015306,Tiksi,86,-28.12,71.69,48,4.07,-28.12,128.87,"{'lon': 128.87, 'lat': 71.69}",RU
98,2126123,Chokurdakh,97,-20.58,70.63,100,8.84,-20.58,147.92,"{'lon': 147.92, 'lat': 70.63}",RU
99,964432,Port Alfred,96,63.0,-33.59,92,3.0,63.0,26.89,"{'lon': 26.89, 'lat': -33.59}",ZA
100,5866583,Kodiak,53,26.6,57.79,1,6.93,26.6,-152.41,"{'lon': -152.41, 'lat': 57.79}",US
101,1213855,Sibolga,58,85.21,1.74,0,3.11,85.21,98.78,"{'lon': 98.78, 'lat': 1.74}",ID
102,3448903,Sao Joao da Barra,89,73.13,-21.64,100,6.13,73.13,-41.05,"{'lon': -41.05, 'lat': -21.64}",BR
103,686090,Asau,64,37.26,46.43,90,10.29,37.4,26.4,"{'lon': 26.4, 'lat': 46.43}",RO
104,3461425,Ilhabela,76,76.96,-23.78,100,10.65,76.96,-45.36,"{'lon': -45.36, 'lat': -23.78}",BR
105,3374210,Sao Filipe,78,70.54,14.9,99,7.23,70.54,-24.5,"{'lon': -24.5, 'lat': 14.9}",CV
106,2094342,Kavieng,75,83.7,-2.57,0,12.86,83.7,150.8,"{'lon': 150.8, 'lat': -2.57}",PG
107,2022572,Khatanga,87,-33.32,71.97,88,9.62,-33.32,102.5,"{'lon': 102.5, 'lat': 71.97}",RU
108,4787534,Sterling,58,27.75,39.01,20,1.99,32.0,-77.43,"{'lon': -77.43, 'lat': 39.01}",US
109,2437798,Zinder,17,61.39,13.81,21,12.55,61.39,8.99,"{'lon': 8.99, 'lat': 13.81}",NE
110,935215,Saint-Philippe,88,74.75,-21.36,75,9.17,80.6,55.77,"{'lon': 55.77, 'lat': -21.36}",RE
111,3174050,Provincia di Mantova,100,34.27,45.17,5,5.82,37.99,10.78,"{'lon': 10.78, 'lat': 45.17}",IT
112,3838583,Rosario,78,78.26,-32.95,0,5.82,82.99,-60.64,"{'lon': -60.64, 'lat': -32.95}",AR
113,1488903,Turukhansk,94,-2.4,65.82,100,12.39,-2.4,87.98,"{'lon': 87.98, 'lat': 65.82}",RU
114,3985168,San Patricio,71,79.27,19.22,23,4.7,79.27,-104.7,"{'lon': -104.7, 'lat': 19.22}",MX
115,3608828,Iralaya,100,73.4,15.0,75,14.99,73.4,-83.23,"{'lon': -83.23, 'lat': 15}",HN
116,3379316,Lethem,54,82.2,3.38,94,8.23,82.2,-59.8,"{'lon': -59.8, 'lat': 3.38}",GY
117,1855612,Nara,93,48.22,34.69,75,2.24,48.99,135.8,"{'lon': 135.8, 'lat': 34.69}",JP
118,5520552,Dumas,60,45.19,35.87,1,4.47,51.8,-101.97,"{'lon': -101.97, 'lat': 35.87}",US
119,3570392,Le Vauclin,88,75.96,14.55,84,2.24,78.01,-60.84,"{'lon': -60.84, 'lat': 14.55}",MQ
120,1214488,Meulaboh,78,80.67,4.14,85,7.36,80.67,96.13,"{'lon': 96.13, 'lat': 4.14}",ID
121,4575352,Columbia,47,38.3,34.0,1,6.93,42.8,-81.03,"{'lon': -81.03, 'lat': 34}",US
122,2121385,Severo-Kuril'sk,81,18.37,50.68,97,13.33,18.37,156.12,"{'lon': 156.12, 'lat': 50.68}",RU
123,3627047,Santa Teresa del Tuy,83,76.68,10.23,40,2.51,78.8,-66.66,"{'lon': -66.66, 'lat': 10.23}",VE
124,2122389,Ossora,89,-9.35,59.24,0,3.83,-9.35,163.07,"{'lon': 163.07, 'lat': 59.24}",RU
125,2316259,Bulungu,86,72.07,-4.55,100,2.26,72.07,18.6,"{'lon': 18.6, 'lat': -4.55}",CD
126,934322,Mahebourg,94,78.87,-20.41,75,11.41,79.0,57.7,"{'lon': 57.7, 'lat': -20.41}",MU
127,2303611,Esim,90,77.76,4.87,99,3.04,77.76,-2.24,"{'lon': -2.24, 'lat': 4.87}",GH
128,292968,Abu Dhabi,64,67.14,24.47,0,13.87,68.0,54.37,"{'lon': 54.37, 'lat': 24.47}",AE
129,2027044,Batagay,97,-25.33,67.63,99,0.98,-25.33,134.63,"{'lon': 134.63, 'lat': 67.63}",RU
130,5554072,Juneau,86,34.39,58.3,90,5.1,35.6,-134.42,"{'lon': -134.42, 'lat': 58.3}",US
131,2119283,Zyryanka,94,-31.22,65.75,4,3.11,-31.22,150.85,"{'lon': 150.85, 'lat': 65.75}",RU
132,2633406,Yate,100,44.11,51.54,90,9.17,45.0,-2.42,"{'lon': -2.42, 'lat': 51.54}",GB
133,4035715,Avarua,88,80.6,-21.21,100,8.05,80.6,-159.78,"{'lon': -159.78, 'lat': -21.21}",CK
134,3392126,Pilar,88,78.8,-9.6,20,4.7,78.8,-35.96,"{'lon': -35.96, 'lat': -9.6}",BR
135,3524744,Las Margaritas,91,50.74,16.32,0,2.75,50.74,-91.98,"{'lon': -91.98, 'lat': 16.32}",MX
136,3521108,Progreso,56,68.0,21.28,5,8.05,68.0,-89.67,"{'lon': -89.67, 'lat': 21.28}",MX
137,3115824,Muros,93,47.5,42.78,40,3.36,53.01,-9.06,"{'lon': -9.06, 'lat': 42.78}",ES
138,3646767,Caraballeda,83,76.71,10.61,40,3.44,78.8,-66.85,"{'lon': -66.85, 'lat': 10.61}",VE
139,2172880,Byron Bay,74,86.36,-28.65,40,17.22,91.4,153.62,"{'lon': 153.62, 'lat': -28.65}",AU
140,565289,Donskoye,64,39.15,45.46,40,29.08,39.2,41.97,"{'lon': 41.97, 'lat': 45.46}",RU
141,1818004,Mabai,78,61.0,23.01,97,5.66,61.0,104.45,"{'lon': 104.45, 'lat': 23.01}",CN
142,3664301,Envira,93,74.97,-7.3,100,1.07,74.97,-70.22,"{'lon': -70.22, 'lat': -7.3}",BR
143,3414079,Olafsvik,58,32.54,64.89,100,45.9,32.54,-23.71,"{'lon': -23.71, 'lat': 64.89}",IS
144,3944399,Chancay,78,75.2,-11.57,90,5.82,75.2,-77.27,"{'lon': -77.27, 'lat': -11.57}",PE
145,2332515,Lafia,24,69.93,8.48,67,2.64,69.93,8.52,"{'lon': 8.52, 'lat': 8.48}",NG
146,4160795,Key Largo,67,57.09,25.09,1,12.75,59.0,-80.45,"{'lon': -80.45, 'lat': 25.09}",US
147,3166595,Sestri Levante,70,47.14,44.27,0,2.24,53.01,9.4,"{'lon': 9.4, 'lat': 44.27}",IT
148,2159220,Mackay,62,88.3,-21.15,75,10.29,90.0,149.2,"{'lon': 149.2, 'lat': -21.15}",AU
149,5380437,Pacific Grove,87,55.9,36.62,20,4.7,60.8,-121.92,"{'lon': -121.92, 'lat': 36.62}",US
150,6355222,Yulara,23,86.0,-25.24,50,14.99,86.0,130.99,"{'lon': 130.99, 'lat': -25.24}",AU
151,127319,Khorramshahr,66,47.39,30.44,0,4.7,48.2,48.17,"{'lon': 48.17, 'lat': 30.44}",IR
152,2381972,Adrar,29,63.0,20.5,100,7.49,63.0,-10.07,"{'lon': -10.07, 'lat': 20.5}",MR
153,2155742,Narrabri,34,96.48,-30.32,40,21.92,96.8,149.78,"{'lon': 149.78, 'lat': -30.32}",AU
154,1529484,Kumul,79,10.74,42.8,58,3.04,10.74,93.45,"{'lon': 93.45, 'lat': 42.8}",CN
155,2122090,Pevek,99,-18.35,69.7,100,4.27,-18.35,170.31,"{'lon': 170.31, 'lat': 69.7}",RU
156,1640344,Kendari,81,82.92,-3.94,100,6.73,82.92,122.5,"{'lon': 122.5, 'lat': -3.94}",ID
157,3443061,Chui,82,70.14,-33.7,0,9.86,70.14,-53.46,"{'lon': -53.46, 'lat': -33.7}",UY
158,6113335,Prince Albert,85,21.2,53.2,90,9.17,21.2,-105.77,"{'lon': -105.77, 'lat': 53.2}",CA
159,3869716,Tocopilla,76,61.88,-22.09,78,4.43,61.88,-70.2,"{'lon': -70.2, 'lat': -22.09}",CL
160,2137773,Vao,74,77.2,-22.67,0,15.43,77.2,167.48,"{'lon': 167.48, 'lat': -22.67}",NC
161,1283240,Kathmandu,93,35.6,27.72,20,3.85,35.6,85.32,"{'lon': 85.32, 'lat': 27.72}",NP
162,4226364,Thomaston,38,39.0,32.89,1,4.7,44.6,-84.33,"{'lon': -84.33, 'lat': 32.89}",US
163,2112309,Katsuura,75,43.47,35.13,75,8.05,45.0,140.3,"{'lon': 140.3, 'lat': 35.13}",JP
164,70979,Sayyan,90,49.05,15.17,1,4.29,49.05,44.32,"{'lon': 44.32, 'lat': 15.17}",YE
165,2109701,Auki,70,84.54,-8.77,10,9.37,84.54,160.7,"{'lon': 160.7, 'lat': -8.77}",SB
